Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
13701,44.10741482802078,-8.899657574829487,3.89,1.088,-8.014557144829651e+17,1.0459705878061459e+18,-2.0814450721888128e+17,HIP 116454 b
13847,44.56482838471556,-40.30449554567677,2.88,0.128,-8.661187424182546e+17,9.96231035037598e+17,-1.000358372440818e+18,HIP 116454 b
13879,44.690523279857736,39.66244879244802,4.68,0.065,-9913841027977472.0,1.846827508756304e+18,1.9523539927886996e+18,HIP 116454 b
13884,44.69951384007862,-64.0712469734303,4.98,0.126,-7.73122104800608e+17,1.0921061512325176e+18,-2.681591137518803e+18,HIP 116454 b
13905,44.76492789976437,35.18316822504878,4.94,1.235,2.280542002359644e+17,2.0871869099535718e+18,1.8965228745504425e+18,HIP 116454 b
13914,44.80292740340597,21.34038379383941,4.63,0.048,1.3369238465197696e+17,1.996004080732176e+18,9.938834948045317e+17,HIP 116454 b
13954,44.92882156128987,8.90726222424387,4.71,-0.109,1.111344611617011e+18,2.979230307317452e+18,6.080817987608609e+17,HIP 116454 b
14135,45.56980256653648,4.089192236461746,2.54,1.63,-2.414182877922647e+17,1.6626407229615667e+18,1.3525742653166254e+17,HIP 116454 b
14146,45.59682166369839,-23.62485513228305,4.08,0.163,-1.1726594996833495e+18,7.131937307574237e+17,-3.3992665315155437e+17,HIP 116454 b
14328,46.19913379629461,53.50641128856282,2.91,0.716,-6.966774916266609e+17,1.220872103273291e+18,1.937005060000712e+18,HIP 116454 b
14354,46.29527551880665,38.83954055339369,3.32,1.528,-3.958214840289946e+16,1.9118733949088538e+18,1.91617777572262e+18,HIP 116454 b
14382,46.38487839400694,56.706202854477446,4.77,1.018,-9.627212298945117e+17,9.48426643252954e+17,1.6038679523368553e+18,HIP 116454 b
14576,47.04223659645587,40.95563775992451,2.09,-0.003,-1.2433585109026967e+18,6.649139462805957e+17,5.623686864721795e+17,HIP 116454 b
14632,47.28014817297457,49.61264652162861,4.05,0.595,-1.552397417760856e+18,3.3430346976516666e+17,2.3436825174685994e+17,HIP 116454 b
14668,47.3757265327028,44.85656659506292,3.79,0.98,-1.185378933226205e+18,7.336126834520701e+17,7.35995585336884e+17,HIP 116454 b
14817,47.82218934026454,39.61161523517836,4.61,1.115,-2.0218217123164698e+17,1.8275103536845501e+18,1.8271887682701412e+18,HIP 116454 b
14838,47.90848585554821,19.726619657836043,4.35,1.033,-6.937284708724524e+17,1.2883399122984863e+18,5.225493041742869e+17,HIP 116454 b
14862,47.9848273927167,74.3930662337019,4.85,0.035,-1.4195238262345487e+18,4.8566601700263514e+17,1.461695619232877e+18,HIP 116454 b
14879,48.02178648963312,-28.983406691246785,3.8,0.543,-1.4404999423342467e+18,4.627491996802611e+17,-2.2422646988576202e+17,HIP 116454 b
15110,48.725180630867264,21.043910555809404,4.87,-0.007,2.857396657443077e+17,2.436517962297586e+18,1.1421846177290684e+18,HIP 116454 b
15197,48.95840898985215,-8.819416744456532,4.8,0.232,-9.586577362873441e+17,1.0257166443356982e+18,-1.872816988448184e+17,HIP 116454 b
15382,49.59219154253706,-22.51102809908817,4.86,0.904,-2.50536877849749e+17,1.8766698251052006e+18,-9.369109081531068e+17,HIP 116454 b
15416,49.682614301248485,34.222592898246475,4.85,1.491,5.774608367575029e+18,8.982344802752094e+18,7.839447089519042e+18,HIP 116454 b
15457,49.842252573741874,3.370841231662533,4.84,0.681,-1.5133346426388314e+18,3.9519669009456934e+17,3399971134702046.0,HIP 116454 b
15474,49.879554991959175,-21.75764234222598,3.7,1.614,-2.33072537586848e+17,1.9147412378684815e+18,-9.188548674780536e+17,HIP 116454 b
15510,50.0104799055636,-43.06478115687089,4.26,0.711,-1.6074903884095327e+18,2.8423357815519126e+17,-1.4089997741536682e+17,HIP 116454 b
15520,49.99715759982711,65.65219386154043,4.74,-0.108,3.140039335150093e+17,2.57390122862606e+18,6.89409451282952e+18,HIP 116454 b
15549,50.08477206487046,29.04834549710272,4.47,1.555,1.7053153347287708e+18,4.2444416331511757e+18,2.9303265291525816e+18,HIP 116454 b
15648,50.36008975020507,43.329648177735294,4.96,0.051,-1.0133925023158806e+18,1.0026635437134295e+18,9.95070644971057e+17,HIP 116454 b
15863,51.0809670367737,49.86100068168352,1.79,0.481,5.726897583724744e+17,2.988387291831754e+18,4.2680541751569034e+18,HIP 116454 b
15900,51.20279025412557,9.028317454728931,3.61,0.887,-4.5698644229930624e+17,1.7198514906620698e+18,3.008023493169536e+17,HIP 116454 b
16083,51.792676810076685,9.73241755121024,3.73,-0.082,-4.13895422790186e+17,1.8074925718037755e+18,3.4211721540538426e+17,HIP 116454 b
16147,52.01302054133696,49.06268171851503,4.99,-0.091,4.802812306803177e+17,2.965467580134881e+18,4.0620213085164375e+18,HIP 116454 b
16228,52.26721160010023,59.94031738764123,4.21,0.419,1.0750801992574521e+19,1.6263888176949946e+19,3.5127632319251214e+19,HIP 116454 b
16244,52.34211063761629,49.50874755270525,4.67,-0.096,4.0082107595742234e+17,2.895732874290883e+18,4.0051158265279713e+18,HIP 116454 b
16245,52.35028017256445,-62.93496085776893,4.71,0.41,-1.511443771533416e+18,4.178596887825252e+17,-6.022439696113335e+17,HIP 116454 b
16281,52.47807342783696,58.87874182604866,4.55,0.489,5.663597285894036e+18,9.762251767408665e+18,1.999898048213067e+19,HIP 116454 b
16335,52.6436975409075,47.99534074689358,4.36,1.367,-3.3781742110948326e+17,1.957868108495659e+18,2.471039886687401e+18,HIP 116454 b
16341,52.65449885137901,-5.07509498828208,4.74,-0.092,4.803541462477988e+17,3.030799546624021e+18,-3.317326645149777e+17,HIP 116454 b
16369,52.71837665314191,12.936667431301784,4.14,1.112,3.176246663552842e+17,2.8236454739532856e+18,7.501106597462898e+17,HIP 116454 b
16537,53.22587515588049,-9.458138200195958,3.72,0.881,-1.6366453198907845e+18,2.5802411329005536e+17,-2.9535557993038344e+16,HIP 116454 b
