Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
70027,214.937470090534,16.30736260465894,4.84,1.228,-1.1422719069361971e+18,-1.5210635349716475e+18,1.9669933600808006e+17,HD 63433 d
70069,215.08131353560805,-56.38654953138598,4.3,0.082,-4.807402038970584e+18,-4.100481828314716e+18,-9.65398795743506e+18,HD 63433 d
70090,215.1387363406584,-37.88537314677426,4.05,-0.03,-1.2340413220664054e+18,-1.5930837850027715e+18,-1.7460108447979896e+18,HD 63433 d
70104,215.17778662865973,-45.18756664283942,4.78,0.31,-5.339815790806106e+17,-1.101191910107622e+18,-1.306695210656176e+18,HD 63433 d
70264,215.653837948641,-58.458999827182986,4.76,0.795,-8.587423753035428e+17,-1.3442907516990024e+18,-2.5843603836276864e+18,HD 63433 d
70300,215.7591119374048,-39.5119690214851,4.41,-0.185,-2.2040126852684257e+18,-2.316233279234089e+18,-2.829626692192214e+18,HD 63433 d
70306,215.77249535928783,-27.75481962559384,4.78,1.3,-9.108284125811203e+17,-1.3853825511852667e+18,-1.079075445210775e+18,HD 63433 d
70327,215.84404181326715,8.446551389136104,4.86,0.01,-1.3551234343347607e+18,-1.7085907846505398e+18,-1.0617198492675712e+16,HD 63433 d
70497,216.2965235043562,51.84799877240187,4.04,0.497,5.20000467673529e+16,-6.948020940103247e+17,4.416870796725914e+16,HD 63433 d
70574,216.5341341753804,-45.22152047242165,4.56,-0.147,-5.268264000360448e+18,-4.63793114281721e+18,-7.262904116289606e+18,HD 63433 d
70576,216.545186054267,-45.37932007281912,4.33,0.434,-1.4016914114611223e+18,-1.7737528332916918e+18,-2.4253254273525796e+18,HD 63433 d
70638,216.7241682094148,-83.66797321760173,4.31,1.3,4.27140356589041e+16,-7.043161676479526e+17,-2.9306781561079557e+18,HD 63433 d
70692,216.8816720053329,75.6961448607711,4.25,1.431,-3.68754848064232e+17,-1.0140496296094333e+18,2.851342704367915e+18,HD 63433 d
70753,217.04324791916915,-29.491801406418805,4.97,-0.074,-2.455134528497634e+18,-2.591567255730175e+18,-2.2445549647787164e+18,HD 63433 d
70755,217.049605093494,-2.227977262025996,4.81,0.693,-7.431474283503296e+17,-1.299642740151887e+18,-3.590714772414346e+17,HD 63433 d
71053,217.95665728319625,30.372264096846468,3.57,1.298,-6.817646054988557e+17,-1.2773938193401646e+18,4.0236711288738195e+17,HD 63433 d
71075,218.01845342543345,38.30929725743199,3.04,0.191,-2.2232060483453914e+17,-9.198611944007762e+17,1.901725525893394e+17,HD 63433 d
