HIP ID,RAJ2000,DEJ2000,Gmag,Plx,Teff,PM,Absolute Magnitude
281,0.87621215883,55.0599618413,7.596405,1.3237,--,7.53,-1.7946471557035162
282,0.87642822178,19.38149864343,7.467053,2.7408,4523.7,30.073,-0.343560271892823
283,0.87711963223,12.35682169643,7.380692,5.5114,--,14.897,1.0870016594538505
279,0.86376622284,62.35780698993,8.637047,1.1725,12652.7,1.949,-1.0173887430643944
284,0.87847168155,-65.82750729824,8.760991,2.1618,--,33.319,0.4350685625310611
280,0.86620736934,53.31268960583,8.133419,4.8532,9781.2,15.675,1.5635599446318897
285,0.88084338346,-35.6022266617,8.18648,2.8017,4840.4,56.782,0.4235881506092012
287,0.88585334111,-13.22729085685,8.443908,1.1025,--,21.888,-1.3441990093006186
286,0.88147569536,78.71782716016,8.920649,2.3146,--,16.613,0.7430287439350707
288,0.88908620006,42.35210657083,7.612417,7.1321,--,107.884,1.878504119196145
290,NULL,NULL,NULL,NULL,NULL,NULL,NULL
289,NULL,NULL,NULL,NULL,NULL,NULL,NULL
291,0.90457528226,-28.41713625269,8.17073,1.4663,--,11.233,-0.9981558271395787
293,0.91601133532,-57.16446031778,8.18111,13.4374,6252.5,26.533,3.822686226443598
294,0.91710088833,3.90697630249,7.801843,6.749,6764.8,25.277,1.9480401407069436
295,0.91870618661,-41.0958889767,9.606404,3.3742,6851.0,18.594,2.2472581054358383
292,0.9087775532,70.30603003834,8.101026,3.6081,--,9.909,0.887418828449233
296,0.92285516457,-28.39619305868,8.083604,24.8314,5398.3,315.018,5.05861002933432
297,0.92435351972,48.43690534135,6.791181,7.549,9896.4,26.45,1.1806281268574192
299,NULL,NULL,NULL,NULL,NULL,NULL,NULL
298,0.9270221286,13.36516899533,7.90957,2.9602,5018.0,28.164,0.2661752714468726
300,0.93515607973,42.02352174696,7.407222,7.6332,7459.4,76.298,1.8207552081207856
301,0.93494929584,-17.33599144286,4.516587,10.5075,9823.4,26.908,-0.37591600661262703
306,NULL,NULL,NULL,NULL,NULL,NULL,NULL
