Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
71053,217.95665728319625,30.372264096846468,3.57,1.298,-1.1305114467575186e+18,-5.5015863609154477e+17,8.71333079015594e+17,AU Mic b
71075,218.01845342543345,38.30929725743199,3.04,0.191,-6.71067446093202e+17,-1.926260111521564e+17,6.591385187175515e+17,AU Mic b
71121,218.154082409339,-50.45725956191988,4.44,-0.177,-2.892638093023789e+18,-1.9398522328680914e+18,-4.0297879695990697e+18,AU Mic b
71284,218.67156289630915,29.746042886723902,4.47,0.364,-4.96382008953601e+17,-6.205115343052992e+16,3.963443722881138e+17,AU Mic b
71352,218.8764382304761,-42.15804760678351,2.33,-0.157,-1.8576295695237343e+18,-1.1614186307621773e+18,-1.7998162403708667e+18,AU Mic b
71536,219.47148207376503,-49.42602808256713,4.05,-0.152,-1.647027823711739e+18,-1.0171023343850524e+18,-2.070510576656809e+18,AU Mic b
71681,219.84536533923009,-60.83059206535123,1.35,0.9,-1.8844912281705542e+17,1.8386704101405674e+17,1.2326047184071725e+17,AU Mic b
71683,219.8501605618033,-60.8306446089676,-0.01,0.71,-1.8844801046456477e+17,1.8386576019622365e+17,1.2326045330749562e+17,AU Mic b
71762,220.18159759368103,16.418389371459586,4.49,-0.002,-2.37266611674854e+18,-1.660892893637229e+18,1.0079885899285018e+18,AU Mic b
71795,220.28766993471143,13.728212832134275,3.78,0.044,-1.4382845409078886e+18,-8.758132408797783e+17,5.648205223098726e+17,AU Mic b
71832,220.4113894864113,8.16178636769921,4.86,0.992,-4.281899803923251e+18,-3.301598827622798e+18,9.335532471640274e+17,AU Mic b
71860,220.4821002102136,-47.38836673522164,2.3,-0.154,-2.843472626321764e+18,-2.0825992214829184e+18,-3.657183149103362e+18,AU Mic b
71865,220.48970501866305,-37.79370954224012,4.01,-0.157,-1.9076537733792666e+18,-1.2842379467250117e+18,-1.609368932524377e+18,AU Mic b
71908,220.62361488841532,-64.97674851620256,3.18,0.256,-3.35373360618923e+17,5.746999804669288e+16,-2.990327184959512e+17,AU Mic b
71957,220.76581786014552,-5.660406958902545,3.87,0.385,-6.072718452565527e+17,-1.7764506432350803e+17,1.0272166535052896e+17,AU Mic b
71995,220.85557796022923,26.5277355047292,4.8,1.672,-5.862807692870004e+18,-4.724193624735055e+18,3.9148228545944125e+18,AU Mic b
72010,220.9138206965509,-35.17487147657908,4.06,1.356,-1.3724249042737902e+18,-8.427250102533332e+17,-9.591259964640064e+17,AU Mic b
